closure,metric,server,time_s
firefox,nar_download_c1,attic-none,36.913893529300005
firefox,nar_download_c1,attic-zstd,25.125993559900003
firefox,nar_download_c1,harmonia-none,2.6912694246999997
firefox,nar_download_c1,harmonia-zstd,15.2393662996
firefox,nar_download_c1,ncps-none,7.346609054
firefox,nar_download_c1,ncps-zstd,1.1779644582
firefox,nar_download_c1,nginx-none,1.2318930518
firefox,nar_download_c1,nginx-zstd,0.4297083827333333
firefox,nar_download_c1,nix-serve,29.8412725393
firefox,nar_download_c1,nix-serve-ng,31.5077756615
firefox,nar_download_c1,nix-serve-ng+nginx-zstd,33.510418300299996
firefox,nar_download_c16,attic-none,7.3581963232
firefox,nar_download_c16,attic-zstd,4.1495926907
firefox,nar_download_c16,harmonia-none,0.57346431125
firefox,nar_download_c16,harmonia-zstd,4.3751130578
firefox,nar_download_c16,ncps-none,1.8938752548
firefox,nar_download_c16,ncps-zstd,0.30980372857924604
firefox,nar_download_c16,nginx-none,0.43591114439999995
firefox,nar_download_c16,nginx-zstd,0.13779667216341268
firefox,nar_download_c16,nix-serve,4.9991930599
firefox,nar_download_c16,nix-serve-ng,42.1663964731
firefox,nar_download_c16,nix-serve-ng+nginx-zstd,42.174176500099996
firefox,nar_download_c4,attic-none,12.6633748813
firefox,nar_download_c4,attic-zstd,7.8424940781000005
firefox,nar_download_c4,harmonia-none,0.9544806864500001
firefox,nar_download_c4,harmonia-zstd,6.4966711726
firefox,nar_download_c4,ncps-none,3.0326268543
firefox,nar_download_c4,ncps-zstd,0.442007352
firefox,nar_download_c4,nginx-none,0.59755655855
firefox,nar_download_c4,nginx-zstd,0.22658878079301586
firefox,nar_download_c4,nix-serve,7.3059811694
firefox,nar_download_c4,nix-serve-ng,40.0221048099
firefox,nar_download_c4,nix-serve-ng+nginx-zstd,42.2458150966
firefox,narinfo_all,attic-none,0.2970494588
firefox,narinfo_all,attic-zstd,0.30146215705
firefox,narinfo_all,harmonia-none,0.14571750788317459
firefox,narinfo_all,harmonia-zstd,0.14414526442702383
firefox,narinfo_all,ncps-none,0.28253589775
firefox,narinfo_all,ncps-zstd,0.30125797035
firefox,narinfo_all,nginx-none,0.06564678166789682
firefox,narinfo_all,nginx-zstd,0.06490010801121032
firefox,narinfo_all,nix-serve,3.2303459371999996
firefox,narinfo_all,nix-serve-ng,0.08107728861041666
firefox,narinfo_all,nix-serve-ng+nginx-zstd,0.15397284646944442
nixos-minimal,nar_download_c1,attic-none,34.8877044901
nixos-minimal,nar_download_c1,attic-zstd,27.5457940104
nixos-minimal,nar_download_c1,harmonia-none,5.3392343157
nixos-minimal,nar_download_c1,harmonia-zstd,14.7093339155
nixos-minimal,nar_download_c1,ncps-none,4.7633979972
nixos-minimal,nar_download_c1,ncps-zstd,1.1312570929
nixos-minimal,nar_download_c1,nginx-none,0.8712316598500001
nixos-minimal,nar_download_c1,nginx-zstd,0.39006726026666666
nixos-minimal,nar_download_c1,nix-serve,41.3770548212
nixos-minimal,nar_download_c1,nix-serve-ng,102.41008942139999
nixos-minimal,nar_download_c1,nix-serve-ng+nginx-zstd,63.5082742592
nixos-minimal,nar_download_c16,attic-none,4.2655931682
nixos-minimal,nar_download_c16,attic-zstd,3.7669904853
nixos-minimal,nar_download_c16,harmonia-none,4.1921677086999996
nixos-minimal,nar_download_c16,harmonia-zstd,6.8250426792
nixos-minimal,nar_download_c16,ncps-none,0.7901607737
nixos-minimal,nar_download_c16,ncps-zstd,0.35916052603333337
nixos-minimal,nar_download_c16,nginx-none,0.21643978394031746
nixos-minimal,nar_download_c16,nginx-zstd,0.13272269217333332
nixos-minimal,nar_download_c16,nix-serve,8.9907860178
nixos-minimal,nar_download_c16,nix-serve-ng,92.6709432138
nixos-minimal,nar_download_c16,nix-serve-ng+nginx-zstd,89.68719984239999
nixos-minimal,nar_download_c4,attic-none,9.8723694115
nixos-minimal,nar_download_c4,attic-zstd,8.2150004778
nixos-minimal,nar_download_c4,harmonia-none,3.1924647649
nixos-minimal,nar_download_c4,harmonia-zstd,6.9401004841
nixos-minimal,nar_download_c4,ncps-none,1.4130774652
nixos-minimal,nar_download_c4,ncps-zstd,0.4460769788
nixos-minimal,nar_download_c4,nginx-none,0.4436683775666667
nixos-minimal,nar_download_c4,nginx-zstd,0.2114643365093254
nixos-minimal,nar_download_c4,nix-serve,10.306350062
nixos-minimal,nar_download_c4,nix-serve-ng,93.731005927
nixos-minimal,nar_download_c4,nix-serve-ng+nginx-zstd,90.4359747077
nixos-minimal,narinfo_all,attic-none,0.39796431405
nixos-minimal,narinfo_all,attic-zstd,0.3799958022
nixos-minimal,narinfo_all,harmonia-none,0.19804249903333337
nixos-minimal,narinfo_all,harmonia-zstd,0.1952493645
nixos-minimal,narinfo_all,ncps-none,0.3640284945
nixos-minimal,narinfo_all,ncps-zstd,0.3964359068
nixos-minimal,narinfo_all,nginx-none,0.0857780919627976
nixos-minimal,narinfo_all,nginx-zstd,0.08615194680246031
nixos-minimal,narinfo_all,nix-serve,4.2346234715
nixos-minimal,narinfo_all,nix-serve-ng,0.11553067809214286
nixos-minimal,narinfo_all,nix-serve-ng+nginx-zstd,0.22963419236666666
