closure,metric,server,time_s
firefox,nar_download_c1,attic-none,36.9068830331
firefox,nar_download_c1,attic-zstd,24.9002912625
firefox,nar_download_c1,harmonia-none,2.6515270446
firefox,nar_download_c1,harmonia-zstd,15.9104468513
firefox,nar_download_c1,ncps-none,7.3983880152
firefox,nar_download_c1,ncps-zstd,1.1755042109
firefox,nar_download_c1,nginx-none,1.1420670803
firefox,nar_download_c1,nginx-zstd,0.42555284439999996
firefox,nar_download_c1,nix-serve,30.0740851483
firefox,nar_download_c1,nix-serve-ng,33.9219758092
firefox,nar_download_c1,nix-serve-ng+nginx-zstd,33.3995845573
firefox,nar_download_c16,attic-none,7.5447886418
firefox,nar_download_c16,attic-zstd,4.1776928996
firefox,nar_download_c16,harmonia-none,0.56527521375
firefox,nar_download_c16,harmonia-zstd,4.442766897699999
firefox,nar_download_c16,ncps-none,1.9723633962
firefox,nar_download_c16,ncps-zstd,0.3105247916413889
firefox,nar_download_c16,nginx-none,0.4425677229333334
firefox,nar_download_c16,nginx-zstd,0.13743406135748018
firefox,nar_download_c16,nix-serve,5.0226991948999995
firefox,nar_download_c16,nix-serve-ng,42.752753045199995
firefox,nar_download_c16,nix-serve-ng+nginx-zstd,42.366826102699996
firefox,nar_download_c4,attic-none,12.749296667700001
firefox,nar_download_c4,attic-zstd,7.879897923100001
firefox,nar_download_c4,harmonia-none,0.86046346265
firefox,nar_download_c4,harmonia-zstd,5.8385724069
firefox,nar_download_c4,ncps-none,3.0045557548
firefox,nar_download_c4,ncps-zstd,0.43412122623333343
firefox,nar_download_c4,nginx-none,0.5377811609500001
firefox,nar_download_c4,nginx-zstd,0.19269966253781745
firefox,nar_download_c4,nix-serve,7.4073772752
firefox,nar_download_c4,nix-serve-ng,40.4015652729
firefox,nar_download_c4,nix-serve-ng+nginx-zstd,40.4952500714
firefox,narinfo_all,attic-none,0.29350397739999995
firefox,narinfo_all,attic-zstd,0.28759022110000004
firefox,narinfo_all,harmonia-none,0.07402931617507938
firefox,narinfo_all,harmonia-zstd,0.07540242184644841
firefox,narinfo_all,ncps-none,0.27915956605000003
firefox,narinfo_all,ncps-zstd,0.3038312973
firefox,narinfo_all,nginx-none,0.06740962032636905
firefox,narinfo_all,nginx-zstd,0.06426064019692461
firefox,narinfo_all,nix-serve,3.313993017
firefox,narinfo_all,nix-serve-ng,0.08481612720871033
firefox,narinfo_all,nix-serve-ng+nginx-zstd,0.16794520952694447
nixos-minimal,nar_download_c1,attic-none,35.3068907118
nixos-minimal,nar_download_c1,attic-zstd,27.8342938098
nixos-minimal,nar_download_c1,harmonia-none,5.5021524996
nixos-minimal,nar_download_c1,harmonia-zstd,15.9176292339
nixos-minimal,nar_download_c1,ncps-none,4.6988945989
nixos-minimal,nar_download_c1,ncps-zstd,1.1115803174
nixos-minimal,nar_download_c1,nginx-none,0.8054003954500001
nixos-minimal,nar_download_c1,nginx-zstd,0.400673757
nixos-minimal,nar_download_c1,nix-serve,41.3636933764
nixos-minimal,nar_download_c1,nix-serve-ng,107.73986892010001
nixos-minimal,nar_download_c1,nix-serve-ng+nginx-zstd,63.382661758199994
nixos-minimal,nar_download_c16,attic-none,4.3099944141
nixos-minimal,nar_download_c16,attic-zstd,3.8018944104
nixos-minimal,nar_download_c16,harmonia-none,4.096801293
nixos-minimal,nar_download_c16,harmonia-zstd,6.9125122256000004
nixos-minimal,nar_download_c16,ncps-none,0.8032168809
nixos-minimal,nar_download_c16,ncps-zstd,0.3576668452356746
nixos-minimal,nar_download_c16,nginx-none,0.20043095857253967
nixos-minimal,nar_download_c16,nginx-zstd,0.12820161528926588
nixos-minimal,nar_download_c16,nix-serve,9.5624968621
nixos-minimal,nar_download_c16,nix-serve-ng,92.7190156251
nixos-minimal,nar_download_c16,nix-serve-ng+nginx-zstd,90.8936495721
nixos-minimal,nar_download_c4,attic-none,10.027495714399999
nixos-minimal,nar_download_c4,attic-zstd,8.203488288
nixos-minimal,nar_download_c4,harmonia-none,3.1109741917
nixos-minimal,nar_download_c4,harmonia-zstd,6.6921780857
nixos-minimal,nar_download_c4,ncps-none,1.4219616557
nixos-minimal,nar_download_c4,ncps-zstd,0.44364785616666663
nixos-minimal,nar_download_c4,nginx-none,0.3800162860694841
nixos-minimal,nar_download_c4,nginx-zstd,0.21368659458599204
nixos-minimal,nar_download_c4,nix-serve,10.3737696463
nixos-minimal,nar_download_c4,nix-serve-ng,94.884881968
nixos-minimal,nar_download_c4,nix-serve-ng+nginx-zstd,91.8815326495
nixos-minimal,narinfo_all,attic-none,0.39110906855
nixos-minimal,narinfo_all,attic-zstd,0.40686474414999996
nixos-minimal,narinfo_all,harmonia-none,0.09776752479761906
nixos-minimal,narinfo_all,harmonia-zstd,0.09781639233309523
nixos-minimal,narinfo_all,ncps-none,0.36890018275
nixos-minimal,narinfo_all,ncps-zstd,0.395062168
nixos-minimal,narinfo_all,nginx-none,0.08562438506242064
nixos-minimal,narinfo_all,nginx-zstd,0.08847411652007936
nixos-minimal,narinfo_all,nix-serve,4.3367655873
nixos-minimal,narinfo_all,nix-serve-ng,0.12038245410976191
nixos-minimal,narinfo_all,nix-serve-ng+nginx-zstd,0.22254742819999998
